Designator,Mid X,Mid Y,Rotation,Layer
C1,13.75,98.25,180.0,bottom
C10,4.0,32.75,90.0,bottom
C11,4.0,57.75,90.0,bottom
C12,4.0,67.0375,270.0,bottom
C13,30.5,69.0,270.0,bottom
C14,30.5,44.0,270.0,bottom
C15,30.5,18.5,270.0,bottom
C2,37.5,97.75,180.0,bottom
C3,57.5,88.7125,270.0,bottom
C4,58.0,69.75,270.0,bottom
C5,58.0,44.25,270.0,bottom
C6,58.0,19.0,270.0,bottom
C7,48.5,4.5,0.0,bottom
C8,24.0,4.0,0.0,bottom
C9,4.5,13.25,90.0,bottom
LED1,6.792457,95.25,315.0,bottom
LED10,3.25,26.0,270.0,bottom
LED11,3.25,51.0,270.0,bottom
LED12,3.25,76.0,270.0,bottom
LED13,31.25,76.0,90.0,bottom
LED14,31.25,51.0,90.0,bottom
LED15,31.25,26.0,90.0,bottom
LED2,31.0,98.5,0.0,bottom
LED3,55.0,94.957543,45.0,bottom
LED4,58.75,76.0,90.0,bottom
LED5,58.75,51.0,90.0,bottom
LED6,58.755,26.0,90.0,bottom
LED7,54.957543,7.0,135.0,bottom
LED8,31.0,3.25,180.0,bottom
LED9,7.0,7.042457,225.0,bottom
LEDPads1,5.0,82.5,0.0,top
R1,2.75,88.5,90.0,bottom
