Designator,Mid X,Mid Y,Rotation,Layer
C1,22.75,99.25,180.0,bottom
C10,13.0,33.75,90.0,bottom
C11,13.0,58.75,90.0,bottom
C12,13.0,68.0375,270.0,bottom
C13,39.5,70.0,270.0,bottom
C14,39.5,45.0,270.0,bottom
C15,39.5,19.5,270.0,bottom
C2,46.5,98.75,180.0,bottom
C3,66.5,89.7125,270.0,bottom
C4,67.0,70.75,270.0,bottom
C5,67.0,45.25,270.0,bottom
C6,67.0,20.0,270.0,bottom
C7,57.5,5.5,0.0,bottom
C8,33.0,5.0,0.0,bottom
C9,13.5,14.25,90.0,bottom
LED1,16.042457,96.0,315.0,bottom
LED10,12.25,27.0,270.0,bottom
LED11,12.25,52.0,270.0,bottom
LED12,12.25,77.0,270.0,bottom
LED13,40.25,77.0,90.0,bottom
LED14,40.25,52.0,90.0,bottom
LED15,40.25,27.0,90.0,bottom
LED2,40.0,99.5,0.0,bottom
LED3,64.0,95.957543,45.0,bottom
LED4,67.75,77.0,90.0,bottom
LED5,67.75,52.0,90.0,bottom
LED6,67.755,27.0,90.0,bottom
LED7,63.957543,8.0,135.0,bottom
LED8,40.0,4.25,180.0,bottom
LED9,16.0,8.042457,225.0,bottom
LEDPads1,13.9,82.5,0.0,top
